579,579,,,87,1445,55,204.00,57.31,39.97,3681,210975.00
17,17,,,41,1294,56,144.00,47.47,27.05,3853,182900.00
161,161,,,55,282,56,255.00,90.25,66.99,3088,278677.00
206,206,,,58,260,56,232.00,78.03,56.75,3523,274907.00
230,230,,,58,1395,56,146.00,60.99,27.85,2056,125387.00
423,423,,,75,279,56,253.00,97.91,70.84,2852,279235.00
20,20,,,41,1276,57,162.00,58.43,34.54,3680,215021.00
62,62,,,45,736,57,164.00,46.05,32.32,4440,204446.00
78,78,,,48,554,57,182.00,51.48,35.34,6350,326879.00
508,508,,,81,1211,57,222.00,106.63,46.58,2461,262427.00
529,529,,,81,486,57,152.00,43.00,28.39,5799,249352.00
350,350,,,66,1335,58,170.00,56.01,32.63,4823,270128.00
569,569,,,87,1190,58,228.00,89.93,52.87,2794,251255.00
365,365,,,70,233,59,139.00,47.76,28.91,3431,163876.00
406,406,,,72,348,59,245.00,68.17,51.17,3839,261701.00
535,535,,,83,1100,59,223.00,62.32,46.81,4045,252097.00
612,612,,,91,1264,59,220.00,78.91,49.69,2895,228457.00
13,13,,,39,1022,60,100.00,34.35,18.53,4122,141603.00
14,14,,,40,1239,60,140.00,54.35,29.99,3904,212192.00
21,21,,,41,1361,60,128.00,48.80,26.15,4028,196570.00
44,44,,,43,1412,60,119.00,43.94,21.21,4675,205410.00
45,45,,,44,1453,60,153.00,47.75,29.10,3644,174005.00
218,218,,,55,1179,60,163.00,79.03,33.55,2842,224602.00
333,333,,,66,303,60,241.00,96.52,52.81,2869,276907.00
405,405,,,71,1199,60,193.00,72.97,33.99,3842,280368.00
1,1,,,38,1202,61,167.00,56.11,34.93,4404,247126.00
56,56,,,44,995,61,162.00,47.56,34.22,3161,150351.00
110,110,,,49,1228,61,170.00,69.58,34.84,2868,199554.00
208,208,,,56,219,61,162.00,45.65,30.76,4714,215192.00
518,518,,,83,1328,61,221.00,86.34,48.05,3085,266373.00
207,207,,,58,249,62,239.00,75.56,55.88,3545,267843.00
332,332,,,64,93,62,139.00,46.54,30.88,3581,166657.00
605,605,,,91,1281,62,203.00,73.47,48.06,3053,224300.00
622,622,,,92,1298,62,227.00,66.26,48.72,3238,214550.00
