651,651,AWBL,,44,1238,45,19.00, 2.33, 2.40,1413,3294.00
578,578,AWBR,,87,1234,47,247.00,91.22,54.61,2455,223955.00
3,3,AWCL,,38,1258,68,143.00,53.47,30.10,4442,237508.00
616,616,AWCR,,92,1259,72,216.00,74.55,48.21,2936,218886.00
351,351,B,,66,285,74,199.00,68.12,43.72,2632,179291.00
713,713,BAGL,,45,1324,68,17.00, 2.18, 2.22,1413,3077.00
696,696,BAGR,,89,1317,75,19.00, 2.31, 2.23,1413,3268.00
56,56,BDUL,,44,995,61,162.00,47.56,34.22,3161,150351.00
560,560,BDUR,,86,1051,72,228.00,70.26,56.69,2894,203329.00
62,62,CANL,,45,736,57,164.00,46.05,32.32,4440,204446.00
554,554,CANR,,85,768,73,228.00,66.31,50.31,3735,247659.00
100,100,CCLA,,49,780,80,194.00,52.48,42.06,3443,180704.00
112,112,CCLP,,51,737,74,187.00,53.36,44.31,4007,213822.00
413,413,CCRA,,77,1024,88,222.00,65.18,52.07,3608,235177.00
472,472,CCRP,,78,992,87,231.00,62.91,51.02,3452,217171.00
656,656,CEPDL,,56,1273,38,12.00, 2.28, 2.03,1413,3224.00
490,490,CEPDR,,81,1282,39,233.00,87.19,56.59,2697,235159.00
88,88,CEPSHDL,,48,1311,47,168.00,58.40,33.81,3512,205110.00
568,568,CEPSHDR,,87,1317,51,204.00,76.33,44.89,3077,234876.00
122,122,CEPSHVL,,51,1315,82,183.00,65.08,36.88,2049,133342.00
562,562,CEPSHVR,,85,1307,83,212.00,67.45,44.24,2946,198720.00
68,68,CEPSODL,,48,1358,49,214.00,66.90,38.83,4008,268146.00
580,580,CEPSODR,,88,1362,52,237.00,77.78,55.75,2934,228196.00
124,124,CEPSOVL,,52,1343,86,194.00,65.49,37.94,2663,174405.00
556,556,CEPSOVR,,84,1345,84,234.00,87.04,48.39,2216,192872.00
715,715,CEPVL,,63,1314,92,20.00, 2.43, 1.93,1413,3432.00
883,883,CEPVR,,75,1315,91,13.00, 2.35, 1.87,1413,3323.00
284,284,DA1,,63,1111,101,179.00,64.77,42.79,3347,216781.00
241,241,DA2,,59,1039,96,198.00,54.88,43.08,3279,179966.00
258,258,DA3,,61,947,97,216.00,57.59,46.77,3331,191841.00
240,240,DA4,,59,853,97,220.00,64.26,51.91,2917,187461.00
